"","Name","Team","Height"
"214","Arne Per hman","Sweden",176
"215","Jrg Ahmann","Germany-1",190
"216","Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","United States",172
"217","Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","United States",172
"218","Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","United States",172
"219","Muhammad Ashfaq Ahmed","Pakistan",162
"220","Bashir Ahmed","Pakistan",171
"221","Ishtiaq Ahmed","Pakistan",170
"222","Manzoor Ahmed","Pakistan",169
"223","Mushtaq Ahmed","Pakistan",170
"224","Mushtaq Ahmed","Pakistan",173
"225","Riaz Ahmed","Pakistan",150
"226","Riaz Ahmed","Pakistan",150
"227","Shahbaz Ahmed","Pakistan",175
"228","Janne Petteri Ahonen","Finland",184
"229","Janne Petteri Ahonen","Finland",184
"230","Peter Ahrendt","Mutafo",169
"231","Brigitte Ahrenholz","East Germany",178
"232","Christian ""Chris"" Ahrens","United States",195
"233","Marlene Ahrens Ostertag (-Ebensperger)","Chile",176
"234","Thomas Ahrens","Germany",163
"235","Matteo Aicardi","Italy",192
"236","Matteo Aicardi","Italy",192
"237","Mara Magdalena Aicega Amicarelli","Argentina",165
"238","Mara Magdalena Aicega Amicarelli","Argentina",165
"239","Mara Magdalena Aicega Amicarelli","Argentina",165
"240","Rosaria Aiello","Italy",172
"241","Hannes Aigner","Germany",183
"242","Nobuyuki Aihara","Japan",154
"243","Nobuyuki Aihara","Japan",154
"244","Nobuyuki Aihara","Japan",154
"245","Nobuyuki Aihara","Japan",154
"246","Yutaka Aihara","Japan",156
"247","Ryoji Aikawa","Japan",183
"248","Charles Benedict ""Ben"" Ainslie","Great Britain",183
"249","Charles Benedict ""Ben"" Ainslie","Great Britain",183
"250","Charles Benedict ""Ben"" Ainslie","Great Britain",183
"251","Charles Benedict ""Ben"" Ainslie","Great Britain",183
"252","Charles Benedict ""Ben"" Ainslie","Great Britain",183
"253","Kurt Harold Ainsworth","United States",187
"254","Robin Allingham Aisher","Great Britain",185
"255","Brett Aitken","Australia",173
"256","Brett Aitken","Australia",173
"257","Brett Aitken","Australia",173
"258","Artur Surenovych Aivazian","Ukraine",177
"259","Eirini Andili","Greece",167
"260","Oluwafemi ""Junior"" Ajayi","Nigeria",172
"261","Omar Ajete Iglesias","Cuba",175
"262","Omar Ajete Iglesias","Cuba",175
"263","Omar Ajete Iglesias","Cuba",175
"264","Ebenezer Oluwafemi ""Femi"" Ajilore","Nigeria",185
"265","Mobolade Abimbola Ajomale","Canada",180
"266","Chioma Ajunwa (-Opara)","Nigeria",164
"267","Kriss Kezie Uche Chukwu Duru Akabusi","Great Britain",185
"268","Kriss Kezie Uche Chukwu Duru Akabusi","Great Britain",185
"269","Kriss Kezie Uche Chukwu Duru Akabusi","Great Britain",185
"270","Kosei Akaishi","Japan",172
"271","Kosei Akaishi","Japan",172
"272","Yuichi Akasaka","Japan",169
"273","Vehbi Akda","Turkey",168
"274","Michelle Anne Akers","United States",178
"275","Taha Akgl","Turkey",192
"276","Yelena Rabigovna Akhaminova (-Sokolovskaya)","Soviet Union",181
"277","Albina Khamitovna Akhatova","Russia",160
"278","Albina Khamitovna Akhatova","Russia",160
"279","Albina Khamitovna Akhatova","Russia",160
"280","Albina Khamitovna Akhatova","Russia",160
"281","Albina Khamitovna Akhatova","Russia",160
"282","Murodzhon Kakharovich Akhmadaliyev","Uzbekistan",165
"283","Artur Kamilevich Akhmatkhuzin","Russia",187
"284","Bakhtiyar Shakhabutdinovich Akhmedov","Russia",190
"285","Lyutvi Dzhiber Akhmedov","Bulgaria",184
"286","Leyla Begnyazovna Akhmerova","Soviet Union",160
"287","Igor Vladimirovich Akhremchik","Soviet Union",180
"288","Gulraiz Akhtar","Pakistan",172
"289","Naeem Akhtar","Pakistan",173
"290","John Akii-Bua","Uganda",188
"291","Anatoly Ivanovich Akimov","Soviet Union",181
"292","Vladimir Ivanovich Akimov","Soviet Union",184
"293","Morolake Akinosun","United States",163
"294","Foluke Antinuke Akinradewo","United States",191
"295","Foluke Antinuke Akinradewo","United States",191
"296","Khadzhimurat Magomedovich Akkayev","Russia",178
"297","Khadzhimurat Magomedovich Akkayev","Russia",178
"298","Marina Dazmirovna Akobiya","Russia",165
"299","Daniel Akpeyi","Nigeria",187
"300","Monica Aksamit","United States",183
"301","Liudmyla Vasylivna Aksenova (Shapovalova-)","Soviet Union",165
"302","Aleksandr Timofeyevich Aksinin","Soviet Union",173
"303","Aleksandr Timofeyevich Aksinin","Soviet Union",173
"304","Nikolay Aleksandrovich Aksyonov","Russia",201
"305","Irina Anatolyevna Aksyonova","Soviet Union",174
"306","Vladyslav Ivanovych Akymenko","Soviet Union",192
"307","Naser Al Shami","Syria",187
"308","Nasser Salih Nasser Abdullah Al-Attiya","Qatar",178
"309","Fehaid Al-Deehani","Kuwait",178
"310","Fehaid Al-Deehani","Kuwait",178
"311","Fehaid Al-Deehani","Individual Olympic Athletes",178
"312","Ramzy Al-Duhami","Saudi Arabia",162
"313","Khaled Al-Eid","Saudi Arabia",175
"314","Abdul Rashid Al-Hasan","Pakistan",170
"315","Ahmed bin Hasher Al-Maktoum","United Arab Emirates",175
"316","Abdullah Al-Rashidi","Individual Olympic Athletes",183
"317","Prince Abdullah Bin Moteb Al-Saud","Saudi Arabia",178
"318","Hadi Soua'an Al-Somaily Jaadan","Saudi Arabia",191
"319","Marina Alabau Neira","Spain",164
"320","Armenak Alachachyan","Soviet Union",176
"321","Arsen Shakhlamazovich Alakhverdiyev","Soviet Union",154
"322","Noor Alam","Pakistan",172
"323","Noor Alam","Pakistan",172
"324","Vladan Alanovi","Croatia",190
"325","Mika Antero Alatalo","Finland",182
"326","Toimi Johannes Alatalo","Finland",174
"327","Fabio Albarelli","Italy",179
"328","Marco Albarello","Italy",187
"329","Marco Albarello","Italy",187
"330","Marco Albarello","Italy",187
"331","Marco Albarello","Italy",187
"332","Marco Albarello","Italy",187
"333","Ruslan Vladimirovich Albegov","Russia",192
"334","David Albelda Aliqus","Spain",182
"335","Reinhard Alber","West Germany",184
"336","Alberto Alberani Samaritani","Italy",192
"337","Flrin Albert","Hungary",182
"338","Nely Carla Alberto Francisca","Spain",179
